Detectado,Acuracia
person, 0.8828
person, 0.8877
person, 0.9892
person, 0.9631
person, 0.7857
person, 0.9714
person, 0.9699
person, 0.9941
person, 0.9915
person, 0.9830
person, 0.9758
person, 0.9658
person, 0.9339
sofa, 0.5942
person, 0.9815
person, 0.9817
person, 0.9699
person, 0.9810
sofa, 0.6262
person, 0.9920
person, 0.9941
sofa, 0.5709
person, 0.9974
person, 0.9848
person, 0.9870
person, 0.9777
person, 0.9557
person, 0.9346
person, 0.8049
person, 0.7835
person, 0.9969
person, 0.9866
person, 0.9795
person, 0.9888
person, 0.9952
person, 0.9916
person, 0.9951
person, 0.9941
person, 0.9941
person, 0.9950
person, 0.9919
person, 0.9747
person, 0.9910
person, 0.7005
refrigerator, 0.7354
refrigerator, 0.7113
refrigerator, 0.7211
person, 0.7388
person, 0.5935
person, 0.9942
person, 0.9983
person, 0.9588
person, 0.9737
person, 0.9756
person, 0.9966
person, 0.9892
person, 0.9943
person, 0.9886
person, 0.9757
person, 0.9939
person, 0.9884
person, 0.9900
person, 0.9904
person, 0.9908
person, 0.9845
person, 0.9834
person, 0.9708
